strain	virus	gene	host	accession	date	location	region	country	database	authors	url	title	journal	paper_url	previous_study
hCoV-229E_Russia_SPE-RII-12721S_2023_PQ616097_2023-02-22	?	spike	Human	PQ616097	2023-02-22	Russia: Saint Petersburg	Europe	Russia	?	Musaeva et al	https://www.ncbi.nlm.nih.gov/nuccore/PQ616097	Human coronaviruses genetic diversity	Unpublished	?	no
hCoV-229E_Russia_SPE-RII-13431S_2022_PQ616098_2022-02-02	?	spike	Human	PQ616098	2022-02-02	Russia: Saint Petersburg	Europe	Russia	?	Musaeva et al	https://www.ncbi.nlm.nih.gov/nuccore/PQ616098	Human coronaviruses genetic diversity	Unpublished	?	no
hCoV-229E_Russia_SPE-RII-14277S_2023_PQ616099_2023-03-14	?	spike	Human	PQ616099	2023-03-14	Russia: Saint Petersburg	Europe	Russia	?	Musaeva et al	https://www.ncbi.nlm.nih.gov/nuccore/PQ616099	Human coronaviruses genetic diversity	Unpublished	?	no
hCoV-229E_Russia_SPE-RII-20862S_2022_PQ616101_2022-04-26	?	spike	Human	PQ616101	2022-04-26	Russia: Saint Petersburg	Europe	Russia	?	Musaeva et al	https://www.ncbi.nlm.nih.gov/nuccore/PQ616101	Human coronaviruses genetic diversity	Unpublished	?	no
hCoV-229E_Russia_SPE-RII-26591S_2021_PQ616102_2021-02-16	?	spike	Human	PQ616102	2021-02-16	Russia: Saint Petersburg	Europe	Russia	?	Musaeva et al	https://www.ncbi.nlm.nih.gov/nuccore/PQ616102	Human coronaviruses genetic diversity	Unpublished	?	no
hCoV-229E_Russia_SPE-RII-29110S_2021_PQ616104_2021-03-12	?	spike	Human	PQ616104	2021-03-12	Russia: Saint Petersburg	Europe	Russia	?	Musaeva et al	https://www.ncbi.nlm.nih.gov/nuccore/PQ616104	Human coronaviruses genetic diversity	Unpublished	?	no
hCoV-229E_Russia_SPE-RII-29469S_2021_PQ616105_2021-03-16	?	spike	Human	PQ616105	2021-03-16	Russia: Saint Petersburg	Europe	Russia	?	Musaeva et al	https://www.ncbi.nlm.nih.gov/nuccore/PQ616105	Human coronaviruses genetic diversity	Unpublished	?	no
hCoV-229E_Russia_SPE-RII-29800S_2021_PQ616106_2021-03-18	?	spike	Human	PQ616106	2021-03-18	Russia: Saint Petersburg	Europe	Russia	?	Musaeva et al	https://www.ncbi.nlm.nih.gov/nuccore/PQ616106	Human coronaviruses genetic diversity	Unpublished	?	no
hCoV-229E_Russia_SPE-RII-30175S_2021_PQ616107_2021-03-23	?	spike	Human	PQ616107	2021-03-23	Russia: Saint Petersburg	Europe	Russia	?	Musaeva et al	https://www.ncbi.nlm.nih.gov/nuccore/PQ616107	Human coronaviruses genetic diversity	Unpublished	?	no
hCoV-229E_Russia_SPE-RII-30347S_2021_PQ616108_2021-03-24	?	spike	Human	PQ616108	2021-03-24	Russia: Saint Petersburg	Europe	Russia	?	Musaeva et al	https://www.ncbi.nlm.nih.gov/nuccore/PQ616108	Human coronaviruses genetic diversity	Unpublished	?	no
hCoV-229E_Russia_SPE-RII-30556S_2021_PQ616109_2021-03-27	?	spike	Human	PQ616109	2021-03-27	Russia: Saint Petersburg	Europe	Russia	?	Musaeva et al	https://www.ncbi.nlm.nih.gov/nuccore/PQ616109	Human coronaviruses genetic diversity	Unpublished	?	no
hCoV-229E_Russia_SPE-RII-30781S_2021_PQ616110_2021-03-31	?	spike	Human	PQ616110	2021-03-31	Russia: Saint Petersburg	Europe	Russia	?	Musaeva et al	https://www.ncbi.nlm.nih.gov/nuccore/PQ616110	Human coronaviruses genetic diversity	Unpublished	?	no
hCoV-229E_Russia_SPE-RII-31552S_2021_PQ616111_2021-04-07	?	spike	Human	PQ616111	2021-04-07	Russia: Saint Petersburg	Europe	Russia	?	Musaeva et al	https://www.ncbi.nlm.nih.gov/nuccore/PQ616111	Human coronaviruses genetic diversity	Unpublished	?	no
inf-1_PQ449607_2016-03-31	?	spike	Human	PQ449607	2016-03-31	United Kingdom	Europe	United Kingdom	?	McClure et al	https://www.ncbi.nlm.nih.gov/nuccore/PQ449607	Vivaldi- An amplicon-based whole genome sequencing method for the	Unpublished	?	no
HCoV-229E_140M_Tanzania_2017_PQ187609_2017-06-06	?	spike	Human	PQ187609	2017-06-06	Tanzania	Africa	Tanzania	?	Mah et al	https://www.ncbi.nlm.nih.gov/nuccore/PQ187609	Discordant phylodynamic and spatiotemporal transmission	Unpublished	?	no
HCoV-229E_1197_Singapore_2010_PQ187610_2010-04-06	?	spike	Human	PQ187610	2010-04-06	Singapore	Asia	Singapore	?	Mah et al	https://www.ncbi.nlm.nih.gov/nuccore/PQ187610	Discordant phylodynamic and spatiotemporal transmission	Unpublished	?	no
HCoV-229E_1340_Singapore_2010_PQ187611_2010-05-17	?	spike	Human	PQ187611	2010-05-17	Singapore	Asia	Singapore	?	Mah et al	https://www.ncbi.nlm.nih.gov/nuccore/PQ187611	Discordant phylodynamic and spatiotemporal transmission	Unpublished	?	no
HCoV-229E_2277_Singapore_2011_PQ187612_2011-06-15	?	spike	Human	PQ187612	2011-06-15	Singapore	Asia	Singapore	?	Mah et al	https://www.ncbi.nlm.nih.gov/nuccore/PQ187612	Discordant phylodynamic and spatiotemporal transmission	Unpublished	?	no
HCoV-229E_2326_Singapore_2011_PQ187613_2011-06-30	?	spike	Human	PQ187613	2011-06-30	Singapore	Asia	Singapore	?	Mah et al	https://www.ncbi.nlm.nih.gov/nuccore/PQ187613	Discordant phylodynamic and spatiotemporal transmission	Unpublished	?	no
HCoV-229E_2613_Singapore_2011_PQ187614_2011-11-10	?	spike	Human	PQ187614	2011-11-10	Singapore	Asia	Singapore	?	Mah et al	https://www.ncbi.nlm.nih.gov/nuccore/PQ187614	Discordant phylodynamic and spatiotemporal transmission	Unpublished	?	no
HCoV-229E_2615_Singapore_2011_PQ187615_2011-11-10	?	spike	Human	PQ187615	2011-11-10	Singapore	Asia	Singapore	?	Mah et al	https://www.ncbi.nlm.nih.gov/nuccore/PQ187615	Discordant phylodynamic and spatiotemporal transmission	Unpublished	?	no
HCoV-229E_4033K_Tanzania_2017_PQ187616_2017-01-09	?	spike	Human	PQ187616	2017-01-09	Tanzania	Africa	Tanzania	?	Mah et al	https://www.ncbi.nlm.nih.gov/nuccore/PQ187616	Discordant phylodynamic and spatiotemporal transmission	Unpublished	?	no
HKU-240824-001_PQ243243_2020-XX-XX	?	spike	Human	PQ243243	2020-XX-XX	Hong Kong	Asia	Hong Kong	?	To et al	https://www.ncbi.nlm.nih.gov/nuccore/PQ243243	Direct Submission	Submitted (27-AUG-2024) Microbiology, The University of Hong Kong,	?	no
hCoV-229E_Russia_NVS-RII-MH71549S_2022_OR266946_2022-03-28	?	spike	Human	OR266946	2022-03-28	Russia: Novosibirsk region, Novosibirsk	Europe	Russia	?	Musaeva et al	https://www.ncbi.nlm.nih.gov/nuccore/OR266946	Direct Submission	Submitted (12-JUL-2023) Laboratory of Molecular Virology,	?	no
HCoV-229E_BIME001-51_2015_ON554097_2015-XX-XX	?	spike	Human	ON554097	2015-XX-XX	China	Asia	China	?	Ye et al	https://www.ncbi.nlm.nih.gov/nuccore/ON554097	Continuous evolution and emerging lineage of seasonal human	J Med Virol (2023) In press	?	no
HCoV-229E_BIME020-63_2016_ON554098_2016-XX-XX	?	spike	Human	ON554098	2016-XX-XX	China	Asia	China	?	Ye et al	https://www.ncbi.nlm.nih.gov/nuccore/ON554098	Continuous evolution and emerging lineage of seasonal human	J Med Virol (2023) In press	?	no
HCoV-229E_BIME027-60_2016_ON554099_2016-XX-XX	?	spike	Human	ON554099	2016-XX-XX	China	Asia	China	?	Ye et al	https://www.ncbi.nlm.nih.gov/nuccore/ON554099	Continuous evolution and emerging lineage of seasonal human	J Med Virol (2023) In press	?	no
HCoV-229E_BIME030-61_2016_ON554100_2016-XX-XX	?	spike	Human	ON554100	2016-XX-XX	China	Asia	China	?	Ye et al	https://www.ncbi.nlm.nih.gov/nuccore/ON554100	Continuous evolution and emerging lineage of seasonal human	J Med Virol (2023) In press	?	no
HCoV-229E_BIME032-64_2016_ON554101_2016-XX-XX	?	spike	Human	ON554101	2016-XX-XX	China	Asia	China	?	Ye et al	https://www.ncbi.nlm.nih.gov/nuccore/ON554101	Continuous evolution and emerging lineage of seasonal human	J Med Virol (2023) In press	?	no
HCoV-229E_BIME038-59_2016_ON554102_2016-XX-XX	?	spike	Human	ON554102	2016-XX-XX	China	Asia	China	?	Ye et al	https://www.ncbi.nlm.nih.gov/nuccore/ON554102	Continuous evolution and emerging lineage of seasonal human	J Med Virol (2023) In press	?	no
HCoV-229E_BIME050-58_2016_ON554103_2016-XX-XX	?	spike	Human	ON554103	2016-XX-XX	China	Asia	China	?	Ye et al	https://www.ncbi.nlm.nih.gov/nuccore/ON554103	Continuous evolution and emerging lineage of seasonal human	J Med Virol (2023) In press	?	no
HCoV-229E_BIME055-67_2016_ON554104_2016-XX-XX	?	spike	Human	ON554104	2016-XX-XX	China	Asia	China	?	Ye et al	https://www.ncbi.nlm.nih.gov/nuccore/ON554104	Continuous evolution and emerging lineage of seasonal human	J Med Virol (2023) In press	?	no
HCoV-229E_BIME060-54_2016_ON554105_2016-XX-XX	?	spike	Human	ON554105	2016-XX-XX	China	Asia	China	?	Ye et al	https://www.ncbi.nlm.nih.gov/nuccore/ON554105	Continuous evolution and emerging lineage of seasonal human	J Med Virol (2023) In press	?	no
HCoV-229E_BIME061-55_2016_ON554106_2016-XX-XX	?	spike	Human	ON554106	2016-XX-XX	China	Asia	China	?	Ye et al	https://www.ncbi.nlm.nih.gov/nuccore/ON554106	Continuous evolution and emerging lineage of seasonal human	J Med Virol (2023) In press	?	no
HCoV-229E_BIME110-17_2017_ON554107_2017-XX-XX	?	spike	Human	ON554107	2017-XX-XX	China	Asia	China	?	Ye et al	https://www.ncbi.nlm.nih.gov/nuccore/ON554107	Continuous evolution and emerging lineage of seasonal human	J Med Virol (2023) In press	?	no
HCoV-229E_BIME118-39_2017_ON554108_2017-XX-XX	?	spike	Human	ON554108	2017-XX-XX	China	Asia	China	?	Ye et al	https://www.ncbi.nlm.nih.gov/nuccore/ON554108	Continuous evolution and emerging lineage of seasonal human	J Med Virol (2023) In press	?	no
HCoV-229E_BIME125-20_2017_ON554109_2017-XX-XX	?	spike	Human	ON554109	2017-XX-XX	China	Asia	China	?	Ye et al	https://www.ncbi.nlm.nih.gov/nuccore/ON554109	Continuous evolution and emerging lineage of seasonal human	J Med Virol (2023) In press	?	no
HCoV-229E_BIME126-21_2017_ON554110_2017-XX-XX	?	spike	Human	ON554110	2017-XX-XX	China	Asia	China	?	Ye et al	https://www.ncbi.nlm.nih.gov/nuccore/ON554110	Continuous evolution and emerging lineage of seasonal human	J Med Virol (2023) In press	?	no
HCoV-229E_BIME129-43_2017_ON554111_2017-XX-XX	?	spike	Human	ON554111	2017-XX-XX	China	Asia	China	?	Ye et al	https://www.ncbi.nlm.nih.gov/nuccore/ON554111	Continuous evolution and emerging lineage of seasonal human	J Med Virol (2023) In press	?	no
HCoV-229E_BIME140-42_2017_ON554112_2017-XX-XX	?	spike	Human	ON554112	2017-XX-XX	China	Asia	China	?	Ye et al	https://www.ncbi.nlm.nih.gov/nuccore/ON554112	Continuous evolution and emerging lineage of seasonal human	J Med Virol (2023) In press	?	no
HCoV-229E_BIME148-44_2017_ON554113_2017-XX-XX	?	spike	Human	ON554113	2017-XX-XX	China	Asia	China	?	Ye et al	https://www.ncbi.nlm.nih.gov/nuccore/ON554113	Continuous evolution and emerging lineage of seasonal human	J Med Virol (2023) In press	?	no
HCoV-229E_BIME151-16_2017_ON554114_2017-XX-XX	?	spike	Human	ON554114	2017-XX-XX	China	Asia	China	?	Ye et al	https://www.ncbi.nlm.nih.gov/nuccore/ON554114	Continuous evolution and emerging lineage of seasonal human	J Med Virol (2023) In press	?	no
HCoV-229E_BIME152-22_2017_ON554115_2017-XX-XX	?	spike	Human	ON554115	2017-XX-XX	China	Asia	China	?	Ye et al	https://www.ncbi.nlm.nih.gov/nuccore/ON554115	Continuous evolution and emerging lineage of seasonal human	J Med Virol (2023) In press	?	no
HCoV-229E_BIME153-23_2017_ON554116_2017-XX-XX	?	spike	Human	ON554116	2017-XX-XX	China	Asia	China	?	Ye et al	https://www.ncbi.nlm.nih.gov/nuccore/ON554116	Continuous evolution and emerging lineage of seasonal human	J Med Virol (2023) In press	?	no
HCoV-229E_BIME154-36_2017_ON554117_2017-XX-XX	?	spike	Human	ON554117	2017-XX-XX	China	Asia	China	?	Ye et al	https://www.ncbi.nlm.nih.gov/nuccore/ON554117	Continuous evolution and emerging lineage of seasonal human	J Med Virol (2023) In press	?	no
HCoV-229E_BIME155-40_2017_ON554118_2017-XX-XX	?	spike	Human	ON554118	2017-XX-XX	China	Asia	China	?	Ye et al	https://www.ncbi.nlm.nih.gov/nuccore/ON554118	Continuous evolution and emerging lineage of seasonal human	J Med Virol (2023) In press	?	no
HCoV-229E_BIME161-50_2017_ON554119_2017-XX-XX	?	spike	Human	ON554119	2017-XX-XX	China	Asia	China	?	Ye et al	https://www.ncbi.nlm.nih.gov/nuccore/ON554119	Continuous evolution and emerging lineage of seasonal human	J Med Virol (2023) In press	?	no
HCoV-229E_BIME168-45_2017_ON554120_2017-XX-XX	?	spike	Human	ON554120	2017-XX-XX	China	Asia	China	?	Ye et al	https://www.ncbi.nlm.nih.gov/nuccore/ON554120	Continuous evolution and emerging lineage of seasonal human	J Med Virol (2023) In press	?	no
HCoV-229E_BIME171-19_2017_ON554121_2017-XX-XX	?	spike	Human	ON554121	2017-XX-XX	China	Asia	China	?	Ye et al	https://www.ncbi.nlm.nih.gov/nuccore/ON554121	Continuous evolution and emerging lineage of seasonal human	J Med Virol (2023) In press	?	no
HCoV-229E_BIME176-46_2017_ON554122_2017-XX-XX	?	spike	Human	ON554122	2017-XX-XX	China	Asia	China	?	Ye et al	https://www.ncbi.nlm.nih.gov/nuccore/ON554122	Continuous evolution and emerging lineage of seasonal human	J Med Virol (2023) In press	?	no
HCoV-229E_BIME178-37_2017_ON554123_2017-XX-XX	?	spike	Human	ON554123	2017-XX-XX	China	Asia	China	?	Ye et al	https://www.ncbi.nlm.nih.gov/nuccore/ON554123	Continuous evolution and emerging lineage of seasonal human	J Med Virol (2023) In press	?	no
HCoV-229E_BIME186-38_2017_ON554124_2017-XX-XX	?	spike	Human	ON554124	2017-XX-XX	China	Asia	China	?	Ye et al	https://www.ncbi.nlm.nih.gov/nuccore/ON554124	Continuous evolution and emerging lineage of seasonal human	J Med Virol (2023) In press	?	no
HCoV-229E_BIME209-34_2018_ON554125_2018-XX-XX	?	spike	Human	ON554125	2018-XX-XX	China	Asia	China	?	Ye et al	https://www.ncbi.nlm.nih.gov/nuccore/ON554125	Continuous evolution and emerging lineage of seasonal human	J Med Virol (2023) In press	?	no
HCoV-229E_BIME240-24_2018_ON554126_2018-XX-XX	?	spike	Human	ON554126	2018-XX-XX	China	Asia	China	?	Ye et al	https://www.ncbi.nlm.nih.gov/nuccore/ON554126	Continuous evolution and emerging lineage of seasonal human	J Med Virol (2023) In press	?	no
HCoV-229E_BIME248-77_2017_ON554127_2017-XX-XX	?	spike	Human	ON554127	2017-XX-XX	China	Asia	China	?	Ye et al	https://www.ncbi.nlm.nih.gov/nuccore/ON554127	Continuous evolution and emerging lineage of seasonal human	J Med Virol (2023) In press	?	no
HCoV-229E_BIME260-05_2017_ON554128_2017-XX-XX	?	spike	Human	ON554128	2017-XX-XX	China	Asia	China	?	Ye et al	https://www.ncbi.nlm.nih.gov/nuccore/ON554128	Continuous evolution and emerging lineage of seasonal human	J Med Virol (2023) In press	?	no
HCoV-229E_BIME310-26_2018_ON554129_2018-XX-XX	?	spike	Human	ON554129	2018-XX-XX	China	Asia	China	?	Ye et al	https://www.ncbi.nlm.nih.gov/nuccore/ON554129	Continuous evolution and emerging lineage of seasonal human	J Med Virol (2023) In press	?	no
HCoV-229E_BIME319-10_2018_ON554130_2018-XX-XX	?	spike	Human	ON554130	2018-XX-XX	China	Asia	China	?	Ye et al	https://www.ncbi.nlm.nih.gov/nuccore/ON554130	Continuous evolution and emerging lineage of seasonal human	J Med Virol (2023) In press	?	no
HCoV-229E_BIME341-12_2018_ON554131_2018-XX-XX	?	spike	Human	ON554131	2018-XX-XX	China	Asia	China	?	Ye et al	https://www.ncbi.nlm.nih.gov/nuccore/ON554131	Continuous evolution and emerging lineage of seasonal human	J Med Virol (2023) In press	?	no
HCoV-229E_BIME364-69_2019_ON554132_2019-XX-XX	?	spike	Human	ON554132	2019-XX-XX	China	Asia	China	?	Ye et al	https://www.ncbi.nlm.nih.gov/nuccore/ON554132	Continuous evolution and emerging lineage of seasonal human	J Med Virol (2023) In press	?	no
HCoV-229E_BIME365-75_2019_ON554133_2019-XX-XX	?	spike	Human	ON554133	2019-XX-XX	China	Asia	China	?	Ye et al	https://www.ncbi.nlm.nih.gov/nuccore/ON554133	Continuous evolution and emerging lineage of seasonal human	J Med Virol (2023) In press	?	no
HCoV-229E_BIME377-74_2019_ON554134_2019-XX-XX	?	spike	Human	ON554134	2019-XX-XX	China	Asia	China	?	Ye et al	https://www.ncbi.nlm.nih.gov/nuccore/ON554134	Continuous evolution and emerging lineage of seasonal human	J Med Virol (2023) In press	?	no
HCoV-229E_BIME386-73_2019_ON554135_2019-XX-XX	?	spike	Human	ON554135	2019-XX-XX	China	Asia	China	?	Ye et al	https://www.ncbi.nlm.nih.gov/nuccore/ON554135	Continuous evolution and emerging lineage of seasonal human	J Med Virol (2023) In press	?	no
HCoV-229E_BIME389-70_2019_ON554136_2019-XX-XX	?	spike	Human	ON554136	2019-XX-XX	China	Asia	China	?	Ye et al	https://www.ncbi.nlm.nih.gov/nuccore/ON554136	Continuous evolution and emerging lineage of seasonal human	J Med Virol (2023) In press	?	no
HCoV-229E_BIME391-71_2019_ON554137_2019-XX-XX	?	spike	Human	ON554137	2019-XX-XX	China	Asia	China	?	Ye et al	https://www.ncbi.nlm.nih.gov/nuccore/ON554137	Continuous evolution and emerging lineage of seasonal human	J Med Virol (2023) In press	?	no
HCoV-229E_BIME392-72_2019_ON554138_2019-XX-XX	?	spike	Human	ON554138	2019-XX-XX	China	Asia	China	?	Ye et al	https://www.ncbi.nlm.nih.gov/nuccore/ON554138	Continuous evolution and emerging lineage of seasonal human	J Med Virol (2023) In press	?	no
HCoV-229E_BIME412-68_2019_ON554139_2019-XX-XX	?	spike	Human	ON554139	2019-XX-XX	China	Asia	China	?	Ye et al	https://www.ncbi.nlm.nih.gov/nuccore/ON554139	Continuous evolution and emerging lineage of seasonal human	J Med Virol (2023) In press	?	no
BJHD29_MW800646_2017-11-28	?	spike	Human	MW800646	2017-11-28	China	Asia	China	?	Yu et al	https://www.ncbi.nlm.nih.gov/nuccore/MW800646	Co-circulation of multiple respiratory viruses detected in	Unpublished	?	no
R2_OK073077_2018-XX-XX	?	spike	Human	OK073077	2018-XX-XX	China	Asia	China	?	Shao et al	https://www.ncbi.nlm.nih.gov/nuccore/OK073077	Molecular Evolution of Human Coronavirus NL63, 229E, HKU1 and OC43	Unpublished	?	no
R10_OK073078_2017-XX-XX	?	spike	Human	OK073078	2017-XX-XX	China	Asia	China	?	Shao et al	https://www.ncbi.nlm.nih.gov/nuccore/OK073078	Molecular Evolution of Human Coronavirus NL63, 229E, HKU1 and OC43	Unpublished	?	no
R22_OK073079_2018-XX-XX	?	spike	Human	OK073079	2018-XX-XX	China	Asia	China	?	Shao et al	https://www.ncbi.nlm.nih.gov/nuccore/OK073079	Molecular Evolution of Human Coronavirus NL63, 229E, HKU1 and OC43	Unpublished	?	no
R35_OK073080_2018-XX-XX	?	spike	Human	OK073080	2018-XX-XX	China	Asia	China	?	Shao et al	https://www.ncbi.nlm.nih.gov/nuccore/OK073080	Molecular Evolution of Human Coronavirus NL63, 229E, HKU1 and OC43	Unpublished	?	no
R39_OK073081_2018-XX-XX	?	spike	Human	OK073081	2018-XX-XX	China	Asia	China	?	Shao et al	https://www.ncbi.nlm.nih.gov/nuccore/OK073081	Molecular Evolution of Human Coronavirus NL63, 229E, HKU1 and OC43	Unpublished	?	no
R41_OK073082_2018-XX-XX	?	spike	Human	OK073082	2018-XX-XX	China	Asia	China	?	Shao et al	https://www.ncbi.nlm.nih.gov/nuccore/OK073082	Molecular Evolution of Human Coronavirus NL63, 229E, HKU1 and OC43	Unpublished	?	no
RS15_OK073083_2017-XX-XX	?	spike	Human	OK073083	2017-XX-XX	China	Asia	China	?	Shao et al	https://www.ncbi.nlm.nih.gov/nuccore/OK073083	Molecular Evolution of Human Coronavirus NL63, 229E, HKU1 and OC43	Unpublished	?	no
P42_OK073084_2017-XX-XX	?	spike	Human	OK073084	2017-XX-XX	China	Asia	China	?	Shao et al	https://www.ncbi.nlm.nih.gov/nuccore/OK073084	Molecular Evolution of Human Coronavirus NL63, 229E, HKU1 and OC43	Unpublished	?	no
TKU-2021b_OK662398_2021-XX-XX	?	spike	Human	OK662398	2021-XX-XX	Finland	Europe	Finland	?	Kolehmainen et al	https://www.ncbi.nlm.nih.gov/nuccore/OK662398	Serological follow-up study indicates high seasonal coronavirus	Unpublished	?	no
S0677SP_MW587035_2022-01-20	?	spike	Human	MW587035	2022-01-20	China	Asia	China	?	Shi et al	https://www.ncbi.nlm.nih.gov/nuccore/MW587035	Characterization of Total Respiratory Infectomes in pre-COVID-19	Unpublished	?	no
S0970XLQ_MW587037_2022-01-20	?	spike	Human	MW587037	2022-01-20	China	Asia	China	?	Shi et al	https://www.ncbi.nlm.nih.gov/nuccore/MW587037	Characterization of Total Respiratory Infectomes in pre-COVID-19	Unpublished	?	no
S0959FBW_MW587038_2022-01-20	?	spike	Human	MW587038	2022-01-20	China	Asia	China	?	Shi et al	https://www.ncbi.nlm.nih.gov/nuccore/MW587038	Characterization of Total Respiratory Infectomes in pre-COVID-19	Unpublished	?	no
ATCC_VR-740_OK625404_2017-XX-XX	?	spike	Human	OK625404	2017-XX-XX	South Korea	Asia	South Korea	?	Yi et al	https://www.ncbi.nlm.nih.gov/nuccore/OK625404	Direct Submission	Submitted (20-OCT-2021) School of Biosystem and Biomedical Science,	?	no
229E_China_03_2017_MW532103_2017-05-02	?	spike	Human	MW532103	2017-05-02	China	Asia	China	?	Wang et al	https://www.ncbi.nlm.nih.gov/nuccore/MW532103	Direct Submission	Submitted (24-JAN-2021) The First Affiliated Hospital of Guangzhou	?	no
229E_China_04_2017_MW532104_2017-08-02	?	spike	Human	MW532104	2017-08-02	China	Asia	China	?	Wang et al	https://www.ncbi.nlm.nih.gov/nuccore/MW532104	Direct Submission	Submitted (24-JAN-2021) The First Affiliated Hospital of Guangzhou	?	no
229E_China_05_2017_MW532105_2017-09-06	?	spike	Human	MW532105	2017-09-06	China	Asia	China	?	Wang et al	https://www.ncbi.nlm.nih.gov/nuccore/MW532105	Direct Submission	Submitted (24-JAN-2021) The First Affiliated Hospital of Guangzhou	?	no
229E_China_01_2009_MW532106_2009-06-09	?	spike	Human	MW532106	2009-06-09	China	Asia	China	?	Wang et al	https://www.ncbi.nlm.nih.gov/nuccore/MW532106	Direct Submission	Submitted (24-JAN-2021) The First Affiliated Hospital of Guangzhou	?	no
229E_China_02_2009_MW532107_2009-04-15	?	spike	Human	MW532107	2009-04-15	China	Asia	China	?	Wang et al	https://www.ncbi.nlm.nih.gov/nuccore/MW532107	Direct Submission	Submitted (24-JAN-2021) The First Affiliated Hospital of Guangzhou	?	no
